club,club_type,target_distance,power_percent,power_range,final_distance,error,abs_error,iterations,found,reachable
2I,iron,90,0.45625000000000004,82.12500000000001,90.21730095486713,-0.21730095486712742,0.21730095486712742,6,True,True
2I,iron,100,0.484375,87.1875,100.23758628417943,-0.23758628417942873,0.23758628417942873,7,True,True
2I,iron,110,0.5113281250000001,92.03906250000003,110.40809236353469,-0.408092363534692,0.408092363534692,10,True,True
2I,iron,120,0.53828125,96.89062500000001,119.60817317130885,0.39182682869115126,0.39182682869115126,9,True,True
2I,iron,130,0.5640625000000001,101.53125000000003,130.15815736008804,-0.15815736008804038,0.15815736008804038,8,True,True
2I,iron,150,0.6109374999999999,109.96874999999999,149.67415476552236,0.32584523447764013,0.32584523447764013,8,True,True
2I,iron,160,0.6390625000000001,115.03125000000001,160.0369120959957,-0.03691209599568879,0.03691209599568879,8,True,True
2I,iron,180,0.684765625,123.25781250000001,180.45093823638047,-0.45093823638046615,0.45093823638046615,10,True,True
2I,iron,190,0.7070312500000001,127.26562500000001,190.00335344903166,-0.003353449031664013,0.003353449031664013,9,True,True
2I,iron,200,0.7328125000000001,131.90625000000003,200.48107235817375,-0.4810723581737477,0.4810723581737477,8,True,True
2I,iron,210,0.7539062500000001,135.70312500000003,209.9984282753645,0.0015717246355109182,0.0015717246355109182,9,True,True
2I,iron,220,0.7773437500000001,139.92187500000003,220.1584600541831,-0.15846005418310938,0.15846005418310938,9,True,True
2I,iron,230,0.8007812500000001,144.14062500000003,230.41449559479358,-0.41449559479357845,0.41449559479357845,9,True,True
2I,iron,250,0.8476562500000001,152.57812500000003,249.54869206005685,0.451307939943149,0.451307939943149,9,True,True
2I,iron,260,0.8710937500000001,156.79687500000003,260.02784025325957,-0.02784025325956918,0.02784025325956918,9,True,True
2I,iron,270,0.8921875000000001,160.59375000000003,270.011118735998,-0.011118735998024931,0.011118735998024931,8,True,True
2I,iron,280,0.9150390625,164.70703125,280.46815882484606,-0.4681588248460571,0.4681588248460571,11,True,True
2I,iron,290,0.9390625000000001,169.03125000000003,289.57673901393025,0.4232609860697494,0.4232609860697494,8,True,True
2I,iron,300,0.9625,173.25,300.2582828598456,-0.2582828598456217,0.2582828598456217,5,True,True
2I,iron,310,0.98388671875,177.099609375,310.48322321020436,-0.48322321020435766,0.48322321020435766,12,True,True
